500235;NBC NATIONAL BANK OF CANADA;DEBIT;ATM ONLY;CANADA;CA;CAN;124;CAN CANADA;
500766;BANK OF MONTREAL;DEBIT;;CANADA;CA;CAN;124;CAN CANADA;
501654;BANCO SANTANDER TOTTA S.A.;;;PORTUGAL;PT;PRT;620;EUR PRT LISBON;
501659;BANCO SANTANDER TOTTA S.A.;;;PORTUGAL;PT;PRT;620;EUR PRT LISBON;
502012;CAJA DE AHORROS Y PENSIONES DE BARCELONA;;;SPAIN;ES;ESP;724;EUR ESP BARCELONA;
502013;CAJA DE AHORROS DE CATALUNA (CAIXA DESTALVIS DE);;;SPAIN;ES;ESP;724;EUR ESP EL PRAT DE LLOBREGAT;
502038;CAJA DE AHORROS Y MONTE DE PIEDAD DE MADRID;;;SPAIN;ES;ESP;724;EUR ESP MADRID;
502081;CAIXA DESTALVIS DE PENEDES;;;SPAIN;ES;ESP;724;EUR ESP VILAFRANCA DEL PENED;
502293;ONE WORLD BANCORP;;;NEW ZEALAND;NZ;NZL;554;A/P NZL AUCKLAND;
503090;IRISH LIFE AND PERMANENT PLC;;;IRELAND;IE;IRL;372;EUR IRL DUBLIN 14;
503585;IRISH LIFE AND PERMANENT PLC;;;IRELAND;IE;IRL;372;EUR IRL DUBLIN 14;
503615;STANDARD BANK OF SOUTH AFRICA;DEBIT;MAESTRO;SOUTH AFRICA;ZA;ZAF;710;SAMEA ZAF;
504317;DEUTSCHE BANK S.P.A.;;;ITALY;IT;ITA;380;EUR ITA MILANO;
504507;BARNES & NOBLE;;GIFT;UNITED STATES;US;USA;840;USA;
504649;EFG EUROBANK ERGASIAS SA;;;GREECE;GR;GRC;300;EUR GRC ATHENS;
504837;FORMERLY FLEET BANK;DEBIT;ATM ONLY;UNITED STATES;US;USA;840;USA;
507857;CETELEM CR, A.S.;;;CZECH REPUBLIC;CZ;CZE;203;EUR CZE PRAGUE 5;
508122;EUROPAY FRANCE SAS;;;FRANCE;FR;FRA;250;EUR FRA PARIS;
508406;COMMERCIAL IMPORT-EXPORT BANK - IMPEXBANK;;;RUSSIAN FEDERATION;RU;RUS;643;EUR RUS MOSCOW;
510000;ABN AMRO BANK (ROMANIA) S.A.;;;ROMANIA;RO;ROM;642;EUR ROM;4012020454
510001;AGRICULTURAL BANK OF GREECE S.A.;;;GREECE;GR;GRC;300;EUR GRC;30-1-9554600
510002;EESTI KREDIIDIPANK;;;ESTONIA;EE;EST;233;EUR EST;3726690900
510003;SAMSUNG CARD CO., LTD.;;;KOREA, REPUBLIC OF;KR;KOR;410;A/P KOR;822-727-8553
